id,level,phase,category,english,lithuanian_TARGET,accented_form_FILL_ME,notes
A2-0530,A1,P-F,Adjectives,busy,užimtas,,not in Wiktionary (en or lt)
A2-0563,A1,P-F,Adjectives,cheap (inexpensive),nebrangus,,not in Wiktionary (en or lt)
A2-0533,A1,P-F,Adjectives,closed,uždarytas,,not in Wiktionary (en or lt)
A2-0532,A1,P-F,Adjectives,open (adj),atidarytas,,not in Wiktionary (en or lt)
A2-0531,A1,P-F,Adjectives,ready,pasiruošęs,,not in Wiktionary (en or lt)
A2-0570,A1,P-F,Adjectives,salty,sūrus,,not in Wiktionary (en or lt)
A2-0540,A1,P-F,Adjectives,wrong,neteisingas,,not in Wiktionary (en or lt)
A2-0189,A1,P-B,Adverbs,enough,pakankamai,,not in Wiktionary (en or lt)
A2-0183,A1,P-B,Adverbs,separately,atskirai,,not in Wiktionary (en or lt)
A2-0179,A1,P-B,Adverbs,there,ten,,not in Wiktionary (en or lt)
A2-0708,A1,P-F,Clothing,jacket,striukė,,not in Wiktionary (en or lt)
A2-0707,A1,P-F,Clothing,jumper,megztinis,,not in Wiktionary (en or lt)
A2-0698,A1,P-F,Food,cabbage,kopūstas,,source gave an unstressed form — confirm
A2-0101,A1,P-A,Food,dessert,desertas,,not in Wiktionary (en or lt)
A2-0673,A1,P-F,Food,pancake,blynas,,not in Wiktionary (en or lt)
A2-0670,A1,P-F,Food,salad,salotos,,not in Wiktionary (en or lt)
A2-0100,A1,P-A,Food,snack,užkandis,,not in Wiktionary (en or lt)
A2-0889,A1,P-G,Formulas,Bon appétit,Skanaus,,not in Wiktionary (en or lt)
A2-0891,A1,P-G,Formulas,Congratulations!,Sveikinu!,,not in Wiktionary (en or lt)
A2-0887,A1,P-G,Formulas,Good luck!,Sėkmės!,,not in Wiktionary (en or lt)
A2-0885,A1,P-G,Formulas,Here you are,Prašom,,not in Wiktionary (en or lt)
A2-0884,A1,P-G,Formulas,Just a moment,Akimirką,,not in Wiktionary (en or lt)
A2-0883,A1,P-G,Formulas,Of course,Žinoma,,not in Wiktionary (en or lt)
A2-0901,A1,P-G,Getting by,A little,Truputį,,not in Wiktionary (en or lt)
A2-0641,A1,P-F,Home,bin,šiukšliadėžė,,not in Wiktionary (en or lt)
A2-0630,A1,P-F,Home,pillow,pagalvė,,not in Wiktionary (en or lt)
A2-0623,A1,P-F,Home,shelf,lentyna,,not in Wiktionary (en or lt)
A2-0087,A1,P-A,Home,wallet,piniginė,,not in Wiktionary (en or lt)
A2-0660,A1,P-F,Location,crossing,perėja,,not in Wiktionary (en or lt)
A2-0095,A1,P-A,Location,newspaper stand,kioskas,,not in Wiktionary (en or lt)
A2-0664,A1,P-F,Location,petrol station,degalinė,,not in Wiktionary (en or lt)
A2-0067,A1,P-A,Numbers,eighty,aštuoniasdešimt,,not in Wiktionary (en or lt)
A2-0064,A1,P-A,Numbers,fifty,penkiasdešimt,,not in Wiktionary (en or lt)
A2-0065,A1,P-A,Numbers,sixty,šešiasdešimt,,not in Wiktionary (en or lt)
A2-0062,A1,P-A,Numbers,thirty,trisdešimt,,not in Wiktionary (en or lt)
A2-0147,A1,P-B,Prepositions,about,apie,,source gave an unstressed form — confirm
A2-0136,A1,P-B,Prepositions,"in, into",į,,source gave an unstressed form — confirm
A2-0138,A1,P-B,Prepositions,with,su,,source gave an unstressed form — confirm
A2-0117,A1,P-B,Question words,whose,kieno,,not in Wiktionary (en or lt)
A2-0093,A1,P-A,Society,postcard,atvirukas,,not in Wiktionary (en or lt)
A2-0004,A1,P-A,Time,second,sekundė,,not in Wiktionary (en or lt)
A2-0728,A1,P-F,Transportation,seat,sėdynė,,not in Wiktionary (en or lt)
A2-0501,A1,P-F,Verbs,to celebrate,švęsti,,not in Wiktionary (en or lt)
A2-0451,A1,P-F,Verbs,to choose,pasirinkti,,not in Wiktionary (en or lt)
A2-0477,A1,P-F,Verbs,to lock,užrakinti,,not in Wiktionary (en or lt)
A2-0478,A1,P-F,Verbs,to unlock,atrakinti,,not in Wiktionary (en or lt)
A2-0821,A1,P-F,Work & culture,festival,šventė,,not in Wiktionary (en or lt)
A2-0816,A1,P-F,Work & culture,hobby,pomėgis,,not in Wiktionary (en or lt)
A2-0791,A1,P-F,Work & culture,musician,muzikantas,,not in Wiktionary (en or lt)
A2-0797,A1,P-F,Work & culture,notebook,sąsiuvinis,,not in Wiktionary (en or lt)
A2-0814,A1,P-F,Work & culture,photograph,nuotrauka,,source gave an unstressed form — confirm
A2-0800,A1,P-F,Work & culture,ruler,liniuotė,,not in Wiktionary (en or lt)
A2-0786,A1,P-F,Work & culture,waiter,padavėjas,,source gave an unstressed form — confirm
A2-0842,A2,P-F,Abstract,change (noun),pokytis,,not in Wiktionary (en or lt)
A2-0838,A2,P-F,Abstract,choice,pasirinkimas,,not in Wiktionary (en or lt)
A2-0827,A2,P-F,Abstract,moment,akimirka,,not in Wiktionary (en or lt)
A2-0845,A2,P-F,Abstract,piece (bit),gabalėlis,,not in Wiktionary (en or lt)
A2-0840,A2,P-F,Abstract,purpose,tikslas,,not in Wiktionary (en or lt)
A2-0562,A2,P-F,Adjectives,crowded,perpildytas,,not in Wiktionary (en or lt)
A2-0542,A2,P-F,Adjectives,false,netikras,,not in Wiktionary (en or lt)
A2-0553,A2,P-F,Adjectives,foreign,užsienio,,not in Wiktionary (en or lt)
A2-0552,A2,P-F,Adjectives,local,vietinis,,not in Wiktionary (en or lt)
A2-0544,A2,P-F,Adjectives,modern,modernus,,not in Wiktionary (en or lt)
A2-0548,A2,P-F,Adjectives,natural,natūralus,,not in Wiktionary (en or lt)
A2-0520,A2,P-F,Adjectives,possible,galimas,,not in Wiktionary (en or lt)
A2-0543,A2,P-F,Adjectives,real,realus,,not in Wiktionary (en or lt)
A2-0567,A2,P-F,Adjectives,stale,pasenęs,,not in Wiktionary (en or lt)
A2-0565,A2,P-F,Adjectives,tasteless,neskanus,,not in Wiktionary (en or lt)
A2-0560,A2,P-F,Adjectives,uncomfortable,nepatogus,,not in Wiktionary (en or lt)
A2-0557,A2,P-F,Adjectives,usual,įprastas,,not in Wiktionary (en or lt)
A2-0373,A2,P-D,Basics,I don't know,Nežinau,,not in Wiktionary (en or lt)
A2-0371,A2,P-D,Basics,I don't understand,Nesuprantu,,not in Wiktionary (en or lt)
A2-0372,A2,P-D,Basics,I understand,Suprantu,,not in Wiktionary (en or lt)
A2-0605,A2,P-F,Body,ankle,kulkšnis,,not in Wiktionary (en or lt)
A2-0604,A2,P-F,Body,wrist,riešas,,not in Wiktionary (en or lt)
A2-0715,A2,P-F,Clothing,sandal,basutė,,not in Wiktionary (en or lt)
A2-0717,A2,P-F,Clothing,zip,užtrauktukas,,not in Wiktionary (en or lt)
A2-0303,A2,P-C,Feelings,bored,nuobodžiaujantis,,not in Wiktionary (en or lt)
A2-0305,A2,P-C,Feelings,friendly,draugiškas,,not in Wiktionary (en or lt)
A2-0294,A2,P-C,Feelings,happiness,laimė,,source gave an unstressed form — confirm
A2-0310,A2,P-C,Feelings,hard-working,darbštus,,not in Wiktionary (en or lt)
A2-0298,A2,P-C,Feelings,surprise,nuostaba,,not in Wiktionary (en or lt)
A2-0677,A2,P-F,Food,bacon,šoninė,,not in Wiktionary (en or lt)
A2-0699,A2,P-F,Food,beetroot,burokėlis,,not in Wiktionary (en or lt)
A2-0680,A2,P-F,Food,flour,miltai,,not in Wiktionary (en or lt)
A2-0683,A2,P-F,Food,pepper,pipirai,,not in Wiktionary (en or lt)
A2-0385,A2,P-D,Getting by,Be careful!,Atsargiai!,,not in Wiktionary (en or lt)
A2-0384,A2,P-D,Getting by,Help!,Padėkite!,,not in Wiktionary (en or lt)
A2-0380,A2,P-D,Getting by,I would like…,Norėčiau…,,not in Wiktionary (en or lt)
A2-0356,A2,P-D,Greetings,Bye (informal),Iki,,not in Wiktionary (en or lt)
A2-0353,A2,P-D,Greetings,Good night,Labanakt,,not in Wiktionary (en or lt)
A2-0349,A2,P-D,Greetings,Hello (formal/plural),Sveiki,,not in Wiktionary (en or lt)
A2-0348,A2,P-D,Greetings,Hello (informal),Labas,,not in Wiktionary (en or lt)
A2-0238,A2,P-C,Health,appointment,vizitas,,not in Wiktionary (en or lt)
A2-0232,A2,P-C,Health,cold (illness),peršalimas,,not in Wiktionary (en or lt)
A2-0237,A2,P-C,Health,dentist,odontologas,,not in Wiktionary (en or lt)
A2-0233,A2,P-C,Health,fever,karščiavimas,,not in Wiktionary (en or lt)
A2-0236,A2,P-C,Health,nurse,slaugytoja,,not in Wiktionary (en or lt)
A2-0230,A2,P-C,Health,prescription,receptas,,not in Wiktionary (en or lt)
A2-0642,A2,P-F,Home,bucket,kibiras,,not in Wiktionary (en or lt)
A2-0640,A2,P-F,Home,bulb,lemputė,,not in Wiktionary (en or lt)
A2-0634,A2,P-F,Home,comb,šukos,,not in Wiktionary (en or lt)
A2-0627,A2,P-F,Home,curtain,užuolaida,,not in Wiktionary (en or lt)
A2-0624,A2,P-F,Home,drawer,stalčius,,not in Wiktionary (en or lt)
A2-0278,A2,P-C,Home,furniture,baldai,,not in Wiktionary (en or lt)
A2-0286,A2,P-C,Home,laundry,skalbiniai,,not in Wiktionary (en or lt)
A2-0292,A2,P-C,Home,to get dressed,rengtis,,not in Wiktionary (en or lt)
