key,subject,seed,backend,size,file,prompt
001_suo,a single dog standing alert in side profile,,openai,1536x1024,001_suo.png,"An illustration for a Lithuanian-language learning flashcard, in the style of a late Soviet instructional wall chart / civil-defense (Grazhdanskaya Oborona) training poster, circa 1975-1985. This is an educational technical wall chart, NOT propaganda and NOT a political poster: clean technical textbook illustration (between a botanical plate and an engineering manual), realistic proportions, clean outlines, muted printing colors, deadpan instructional calm, a structured grid layout with generous white space and an aged cream-paper offset-print feel. Where people appear they are ordinary Soviet-era Lithuanian people with neutral expressions and no heroic posing, in a period late-1970s setting. Subject: a single dog standing alert in side profile. Draw it in full-body side profile for clear identification. Keep the subject large and dominant in the foreground, floating cleanly on the cream paper on a simple background. Any people who appear are ordinary workers in plain muted blue-grey civil-defense coveralls, soft flat-topped cloth workers' caps (the Lenin-style flat cap) or bareheaded, and black kirza-style work boots. Only include people the subject or scene actually calls for; do not add an extra standing figure that is not needed. Include 2 to 3 small supporting insets: a close-up of its head; a close-up of a foot, paw, or hoof; a civic scene of an ordinary worker tending or handling it. Do NOT include internal anatomical cutaways or cross-sections of bodies — no organs, no digestive tracts, no bone interiors, no skin-layer diagrams, no udder or muscle interiors. Use external close-up details instead. (A simple sliced view of a fruit or plain object is fine.) Render NO text, NO lettering, NO numbers, NO words, NO labels and NO captions anywhere in the image — no leader-line labels, no writing in any panel, on any flag, sign, or object, and none in the header or footer bands. Any area that would normally hold text must be left completely blank. Frame the card with a plain solid dark-red horizontal band across the very top and another across the very bottom, plus a thin dark-red border around the whole card. These bands are blank design elements and must contain no text whatsoever. Keep ALL illustration content — every figure, object, and inset panel — fully inside the inner frame; nothing may overlap, touch, or extend across the red header or footer bands. If any national emblem is shown at all, use ONLY a small Lithuanian tricolor flag (a horizontal yellow band on top, green in the middle, red on the bottom), placed small and only where it fits naturally. Do NOT include coats of arms, the Vytis knight, the Columns of Gediminas, or any other heraldic emblem or badge. Do not put a flag on every card — many cards need no emblem at all. Render any human hands with clean, natural anatomy and exactly five fingers, and render animal paws, hooves and feet cleanly and correctly — no extra or malformed fingers or toes."
002_kate,a single domestic cat in side profile,,openai,1536x1024,002_kate.png,"An illustration for a Lithuanian-language learning flashcard, in the style of a late Soviet instructional wall chart / civil-defense (Grazhdanskaya Oborona) training poster, circa 1975-1985. This is an educational technical wall chart, NOT propaganda and NOT a political poster: clean technical textbook illustration (between a botanical plate and an engineering manual), realistic proportions, clean outlines, muted printing colors, deadpan instructional calm, a structured grid layout with generous white space and an aged cream-paper offset-print feel. Where people appear they are ordinary Soviet-era Lithuanian people with neutral expressions and no heroic posing, in a period late-1970s setting. Subject: a single domestic cat in side profile. Draw it in full-body side profile for clear identification. Keep the subject large and dominant in the foreground, floating cleanly on the cream paper on a simple background. Any people who appear are ordinary workers in plain muted blue-grey civil-defense coveralls, soft flat-topped cloth workers' caps (the Lenin-style flat cap) or bareheaded, and black kirza-style work boots. Only include people the subject or scene actually calls for; do not add an extra standing figure that is not needed. Include 2 to 3 small supporting insets: a close-up of its head; a close-up of a foot, paw, or hoof; a civic scene of an ordinary worker tending or handling it. Do NOT include internal anatomical cutaways or cross-sections of bodies — no organs, no digestive tracts, no bone interiors, no skin-layer diagrams, no udder or muscle interiors. Use external close-up details instead. (A simple sliced view of a fruit or plain object is fine.) Render NO text, NO lettering, NO numbers, NO words, NO labels and NO captions anywhere in the image — no leader-line labels, no writing in any panel, on any flag, sign, or object, and none in the header or footer bands. Any area that would normally hold text must be left completely blank. Frame the card with a plain solid dark-red horizontal band across the very top and another across the very bottom, plus a thin dark-red border around the whole card. These bands are blank design elements and must contain no text whatsoever. Keep ALL illustration content — every figure, object, and inset panel — fully inside the inner frame; nothing may overlap, touch, or extend across the red header or footer bands. If any national emblem is shown at all, use ONLY a small Lithuanian tricolor flag (a horizontal yellow band on top, green in the middle, red on the bottom), placed small and only where it fits naturally. Do NOT include coats of arms, the Vytis knight, the Columns of Gediminas, or any other heraldic emblem or badge. Do not put a flag on every card — many cards need no emblem at all. Render any human hands with clean, natural anatomy and exactly five fingers, and render animal paws, hooves and feet cleanly and correctly — no extra or malformed fingers or toes."
003_zuvis,a single freshwater fish (a carp),,openai,1536x1024,003_zuvis.png,"An illustration for a Lithuanian-language learning flashcard, in the style of a late Soviet instructional wall chart / civil-defense (Grazhdanskaya Oborona) training poster, circa 1975-1985. This is an educational technical wall chart, NOT propaganda and NOT a political poster: clean technical textbook illustration (between a botanical plate and an engineering manual), realistic proportions, clean outlines, muted printing colors, deadpan instructional calm, a structured grid layout with generous white space and an aged cream-paper offset-print feel. Where people appear they are ordinary Soviet-era Lithuanian people with neutral expressions and no heroic posing, in a period late-1970s setting. Subject: a single freshwater fish (a carp). Draw it in full-body side profile for clear identification. Keep the subject large and dominant in the foreground, floating cleanly on the cream paper on a simple background. Any people who appear are ordinary workers in plain muted blue-grey civil-defense coveralls, soft flat-topped cloth workers' caps (the Lenin-style flat cap) or bareheaded, and black kirza-style work boots. Only include people the subject or scene actually calls for; do not add an extra standing figure that is not needed. Include 2 to 3 small supporting insets: a close-up of its head; a close-up of a foot, paw, or hoof; a civic scene of an ordinary worker tending or handling it. Do NOT include internal anatomical cutaways or cross-sections of bodies — no organs, no digestive tracts, no bone interiors, no skin-layer diagrams, no udder or muscle interiors. Use external close-up details instead. (A simple sliced view of a fruit or plain object is fine.) Render NO text, NO lettering, NO numbers, NO words, NO labels and NO captions anywhere in the image — no leader-line labels, no writing in any panel, on any flag, sign, or object, and none in the header or footer bands. Any area that would normally hold text must be left completely blank. Frame the card with a plain solid dark-red horizontal band across the very top and another across the very bottom, plus a thin dark-red border around the whole card. These bands are blank design elements and must contain no text whatsoever. Keep ALL illustration content — every figure, object, and inset panel — fully inside the inner frame; nothing may overlap, touch, or extend across the red header or footer bands. If any national emblem is shown at all, use ONLY a small Lithuanian tricolor flag (a horizontal yellow band on top, green in the middle, red on the bottom), placed small and only where it fits naturally. Do NOT include coats of arms, the Vytis knight, the Columns of Gediminas, or any other heraldic emblem or badge. Do not put a flag on every card — many cards need no emblem at all. Render any human hands with clean, natural anatomy and exactly five fingers, and render animal paws, hooves and feet cleanly and correctly — no extra or malformed fingers or toes."
004_paukstis,a single bird in side profile,,openai,1536x1024,004_paukstis.png,"An illustration for a Lithuanian-language learning flashcard, in the style of a late Soviet instructional wall chart / civil-defense (Grazhdanskaya Oborona) training poster, circa 1975-1985. This is an educational technical wall chart, NOT propaganda and NOT a political poster: clean technical textbook illustration (between a botanical plate and an engineering manual), realistic proportions, clean outlines, muted printing colors, deadpan instructional calm, a structured grid layout with generous white space and an aged cream-paper offset-print feel. Where people appear they are ordinary Soviet-era Lithuanian people with neutral expressions and no heroic posing, in a period late-1970s setting. Subject: a single bird in side profile. Draw it in full-body side profile for clear identification. Keep the subject large and dominant in the foreground, floating cleanly on the cream paper on a simple background. Any people who appear are ordinary workers in plain muted blue-grey civil-defense coveralls, soft flat-topped cloth workers' caps (the Lenin-style flat cap) or bareheaded, and black kirza-style work boots. Only include people the subject or scene actually calls for; do not add an extra standing figure that is not needed. Include 2 to 3 small supporting insets: a close-up of its head; a close-up of a foot, paw, or hoof; a civic scene of an ordinary worker tending or handling it. Do NOT include internal anatomical cutaways or cross-sections of bodies — no organs, no digestive tracts, no bone interiors, no skin-layer diagrams, no udder or muscle interiors. Use external close-up details instead. (A simple sliced view of a fruit or plain object is fine.) Render NO text, NO lettering, NO numbers, NO words, NO labels and NO captions anywhere in the image — no leader-line labels, no writing in any panel, on any flag, sign, or object, and none in the header or footer bands. Any area that would normally hold text must be left completely blank. Frame the card with a plain solid dark-red horizontal band across the very top and another across the very bottom, plus a thin dark-red border around the whole card. These bands are blank design elements and must contain no text whatsoever. Keep ALL illustration content — every figure, object, and inset panel — fully inside the inner frame; nothing may overlap, touch, or extend across the red header or footer bands. If any national emblem is shown at all, use ONLY a small Lithuanian tricolor flag (a horizontal yellow band on top, green in the middle, red on the bottom), placed small and only where it fits naturally. Do NOT include coats of arms, the Vytis knight, the Columns of Gediminas, or any other heraldic emblem or badge. Do not put a flag on every card — many cards need no emblem at all. Render any human hands with clean, natural anatomy and exactly five fingers, and render animal paws, hooves and feet cleanly and correctly — no extra or malformed fingers or toes."
005_karve,a single dairy cow in side profile,,openai,1536x1024,005_karve.png,"An illustration for a Lithuanian-language learning flashcard, in the style of a late Soviet instructional wall chart / civil-defense (Grazhdanskaya Oborona) training poster, circa 1975-1985. This is an educational technical wall chart, NOT propaganda and NOT a political poster: clean technical textbook illustration (between a botanical plate and an engineering manual), realistic proportions, clean outlines, muted printing colors, deadpan instructional calm, a structured grid layout with generous white space and an aged cream-paper offset-print feel. Where people appear they are ordinary Soviet-era Lithuanian people with neutral expressions and no heroic posing, in a period late-1970s setting. Subject: a single dairy cow in side profile. Draw it in full-body side profile for clear identification. Keep the subject large and dominant in the foreground, floating cleanly on the cream paper on a simple background. Any people who appear are ordinary workers in plain muted blue-grey civil-defense coveralls, soft flat-topped cloth workers' caps (the Lenin-style flat cap) or bareheaded, and black kirza-style work boots. Only include people the subject or scene actually calls for; do not add an extra standing figure that is not needed. Include 2 to 3 small supporting insets: a close-up of its head; a close-up of a foot, paw, or hoof; a civic scene of an ordinary worker tending or handling it. Do NOT include internal anatomical cutaways or cross-sections of bodies — no organs, no digestive tracts, no bone interiors, no skin-layer diagrams, no udder or muscle interiors. Use external close-up details instead. (A simple sliced view of a fruit or plain object is fine.) Render NO text, NO lettering, NO numbers, NO words, NO labels and NO captions anywhere in the image — no leader-line labels, no writing in any panel, on any flag, sign, or object, and none in the header or footer bands. Any area that would normally hold text must be left completely blank. Frame the card with a plain solid dark-red horizontal band across the very top and another across the very bottom, plus a thin dark-red border around the whole card. These bands are blank design elements and must contain no text whatsoever. Keep ALL illustration content — every figure, object, and inset panel — fully inside the inner frame; nothing may overlap, touch, or extend across the red header or footer bands. If any national emblem is shown at all, use ONLY a small Lithuanian tricolor flag (a horizontal yellow band on top, green in the middle, red on the bottom), placed small and only where it fits naturally. Do NOT include coats of arms, the Vytis knight, the Columns of Gediminas, or any other heraldic emblem or badge. Do not put a flag on every card — many cards need no emblem at all. Render any human hands with clean, natural anatomy and exactly five fingers, and render animal paws, hooves and feet cleanly and correctly — no extra or malformed fingers or toes."
006_kiaule,a single farm pig,,openai,1536x1024,006_kiaule.png,"An illustration for a Lithuanian-language learning flashcard, in the style of a late Soviet instructional wall chart / civil-defense (Grazhdanskaya Oborona) training poster, circa 1975-1985. This is an educational technical wall chart, NOT propaganda and NOT a political poster: clean technical textbook illustration (between a botanical plate and an engineering manual), realistic proportions, clean outlines, muted printing colors, deadpan instructional calm, a structured grid layout with generous white space and an aged cream-paper offset-print feel. Where people appear they are ordinary Soviet-era Lithuanian people with neutral expressions and no heroic posing, in a period late-1970s setting. Subject: a single farm pig. Draw it in full-body side profile for clear identification. Keep the subject large and dominant in the foreground, floating cleanly on the cream paper on a simple background. Any people who appear are ordinary workers in plain muted blue-grey civil-defense coveralls, soft flat-topped cloth workers' caps (the Lenin-style flat cap) or bareheaded, and black kirza-style work boots. Only include people the subject or scene actually calls for; do not add an extra standing figure that is not needed. Include 2 to 3 small supporting insets: a close-up of its head; a close-up of a foot, paw, or hoof; a civic scene of an ordinary worker tending or handling it. Do NOT include internal anatomical cutaways or cross-sections of bodies — no organs, no digestive tracts, no bone interiors, no skin-layer diagrams, no udder or muscle interiors. Use external close-up details instead. (A simple sliced view of a fruit or plain object is fine.) Render NO text, NO lettering, NO numbers, NO words, NO labels and NO captions anywhere in the image — no leader-line labels, no writing in any panel, on any flag, sign, or object, and none in the header or footer bands. Any area that would normally hold text must be left completely blank. Frame the card with a plain solid dark-red horizontal band across the very top and another across the very bottom, plus a thin dark-red border around the whole card. These bands are blank design elements and must contain no text whatsoever. Keep ALL illustration content — every figure, object, and inset panel — fully inside the inner frame; nothing may overlap, touch, or extend across the red header or footer bands. If any national emblem is shown at all, use ONLY a small Lithuanian tricolor flag (a horizontal yellow band on top, green in the middle, red on the bottom), placed small and only where it fits naturally. Do NOT include coats of arms, the Vytis knight, the Columns of Gediminas, or any other heraldic emblem or badge. Do not put a flag on every card — many cards need no emblem at all. Render any human hands with clean, natural anatomy and exactly five fingers, and render animal paws, hooves and feet cleanly and correctly — no extra or malformed fingers or toes."
007_pele,a single house mouse,,openai,1536x1024,007_pele.png,"An illustration for a Lithuanian-language learning flashcard, in the style of a late Soviet instructional wall chart / civil-defense (Grazhdanskaya Oborona) training poster, circa 1975-1985. This is an educational technical wall chart, NOT propaganda and NOT a political poster: clean technical textbook illustration (between a botanical plate and an engineering manual), realistic proportions, clean outlines, muted printing colors, deadpan instructional calm, a structured grid layout with generous white space and an aged cream-paper offset-print feel. Where people appear they are ordinary Soviet-era Lithuanian people with neutral expressions and no heroic posing, in a period late-1970s setting. Subject: a single house mouse. Draw it in full-body side profile for clear identification. Keep the subject large and dominant in the foreground, floating cleanly on the cream paper on a simple background. Any people who appear are ordinary workers in plain muted blue-grey civil-defense coveralls, soft flat-topped cloth workers' caps (the Lenin-style flat cap) or bareheaded, and black kirza-style work boots. Only include people the subject or scene actually calls for; do not add an extra standing figure that is not needed. Include 2 to 3 small supporting insets: a close-up of its head; a close-up of a foot, paw, or hoof; a civic scene of an ordinary worker tending or handling it. Do NOT include internal anatomical cutaways or cross-sections of bodies — no organs, no digestive tracts, no bone interiors, no skin-layer diagrams, no udder or muscle interiors. Use external close-up details instead. (A simple sliced view of a fruit or plain object is fine.) Render NO text, NO lettering, NO numbers, NO words, NO labels and NO captions anywhere in the image — no leader-line labels, no writing in any panel, on any flag, sign, or object, and none in the header or footer bands. Any area that would normally hold text must be left completely blank. Frame the card with a plain solid dark-red horizontal band across the very top and another across the very bottom, plus a thin dark-red border around the whole card. These bands are blank design elements and must contain no text whatsoever. Keep ALL illustration content — every figure, object, and inset panel — fully inside the inner frame; nothing may overlap, touch, or extend across the red header or footer bands. If any national emblem is shown at all, use ONLY a small Lithuanian tricolor flag (a horizontal yellow band on top, green in the middle, red on the bottom), placed small and only where it fits naturally. Do NOT include coats of arms, the Vytis knight, the Columns of Gediminas, or any other heraldic emblem or badge. Do not put a flag on every card — many cards need no emblem at all. Render any human hands with clean, natural anatomy and exactly five fingers, and render animal paws, hooves and feet cleanly and correctly — no extra or malformed fingers or toes."
008_arklys,a single working horse in side profile,,openai,1536x1024,008_arklys.png,"An illustration for a Lithuanian-language learning flashcard, in the style of a late Soviet instructional wall chart / civil-defense (Grazhdanskaya Oborona) training poster, circa 1975-1985. This is an educational technical wall chart, NOT propaganda and NOT a political poster: clean technical textbook illustration (between a botanical plate and an engineering manual), realistic proportions, clean outlines, muted printing colors, deadpan instructional calm, a structured grid layout with generous white space and an aged cream-paper offset-print feel. Where people appear they are ordinary Soviet-era Lithuanian people with neutral expressions and no heroic posing, in a period late-1970s setting. Subject: a single working horse in side profile. Draw it in full-body side profile for clear identification. Keep the subject large and dominant in the foreground, floating cleanly on the cream paper on a simple background. Any people who appear are ordinary workers in plain muted blue-grey civil-defense coveralls, soft flat-topped cloth workers' caps (the Lenin-style flat cap) or bareheaded, and black kirza-style work boots. Only include people the subject or scene actually calls for; do not add an extra standing figure that is not needed. Include 2 to 3 small supporting insets: a close-up of its head; a close-up of a foot, paw, or hoof; a civic scene of an ordinary worker tending or handling it. Do NOT include internal anatomical cutaways or cross-sections of bodies — no organs, no digestive tracts, no bone interiors, no skin-layer diagrams, no udder or muscle interiors. Use external close-up details instead. (A simple sliced view of a fruit or plain object is fine.) Render NO text, NO lettering, NO numbers, NO words, NO labels and NO captions anywhere in the image — no leader-line labels, no writing in any panel, on any flag, sign, or object, and none in the header or footer bands. Any area that would normally hold text must be left completely blank. Frame the card with a plain solid dark-red horizontal band across the very top and another across the very bottom, plus a thin dark-red border around the whole card. These bands are blank design elements and must contain no text whatsoever. Keep ALL illustration content — every figure, object, and inset panel — fully inside the inner frame; nothing may overlap, touch, or extend across the red header or footer bands. If any national emblem is shown at all, use ONLY a small Lithuanian tricolor flag (a horizontal yellow band on top, green in the middle, red on the bottom), placed small and only where it fits naturally. Do NOT include coats of arms, the Vytis knight, the Columns of Gediminas, or any other heraldic emblem or badge. Do not put a flag on every card — many cards need no emblem at all. Render any human hands with clean, natural anatomy and exactly five fingers, and render animal paws, hooves and feet cleanly and correctly — no extra or malformed fingers or toes."
009_sparnas,a bird's outstretched wing,,openai,1536x1024,009_sparnas.png,"An illustration for a Lithuanian-language learning flashcard, in the style of a late Soviet instructional wall chart / civil-defense (Grazhdanskaya Oborona) training poster, circa 1975-1985. This is an educational technical wall chart, NOT propaganda and NOT a political poster: clean technical textbook illustration (between a botanical plate and an engineering manual), realistic proportions, clean outlines, muted printing colors, deadpan instructional calm, a structured grid layout with generous white space and an aged cream-paper offset-print feel. Where people appear they are ordinary Soviet-era Lithuanian people with neutral expressions and no heroic posing, in a period late-1970s setting. Subject: a bird's outstretched wing. Draw it in full-body side profile for clear identification. Keep the subject large and dominant in the foreground, floating cleanly on the cream paper on a simple background. Any people who appear are ordinary workers in plain muted blue-grey civil-defense coveralls, soft flat-topped cloth workers' caps (the Lenin-style flat cap) or bareheaded, and black kirza-style work boots. Only include people the subject or scene actually calls for; do not add an extra standing figure that is not needed. Include 2 to 3 small supporting insets: a close-up of its head; a close-up of a foot, paw, or hoof; a civic scene of an ordinary worker tending or handling it. Do NOT include internal anatomical cutaways or cross-sections of bodies — no organs, no digestive tracts, no bone interiors, no skin-layer diagrams, no udder or muscle interiors. Use external close-up details instead. (A simple sliced view of a fruit or plain object is fine.) Render NO text, NO lettering, NO numbers, NO words, NO labels and NO captions anywhere in the image — no leader-line labels, no writing in any panel, on any flag, sign, or object, and none in the header or footer bands. Any area that would normally hold text must be left completely blank. Frame the card with a plain solid dark-red horizontal band across the very top and another across the very bottom, plus a thin dark-red border around the whole card. These bands are blank design elements and must contain no text whatsoever. Keep ALL illustration content — every figure, object, and inset panel — fully inside the inner frame; nothing may overlap, touch, or extend across the red header or footer bands. If any national emblem is shown at all, use ONLY a small Lithuanian tricolor flag (a horizontal yellow band on top, green in the middle, red on the bottom), placed small and only where it fits naturally. Do NOT include coats of arms, the Vytis knight, the Columns of Gediminas, or any other heraldic emblem or badge. Do not put a flag on every card — many cards need no emblem at all. Render any human hands with clean, natural anatomy and exactly five fingers, and render animal paws, hooves and feet cleanly and correctly — no extra or malformed fingers or toes."
010_gyvunas,"a specimen chart of three common animals — a dog, a cat, and a fish — in a row",,openai,1536x1024,010_gyvunas.png,"An illustration for a Lithuanian-language learning flashcard, in the style of a late Soviet instructional wall chart / civil-defense (Grazhdanskaya Oborona) training poster, circa 1975-1985. This is an educational technical wall chart, NOT propaganda and NOT a political poster: clean technical textbook illustration (between a botanical plate and an engineering manual), realistic proportions, clean outlines, muted printing colors, deadpan instructional calm, a structured grid layout with generous white space and an aged cream-paper offset-print feel. Where people appear they are ordinary Soviet-era Lithuanian people with neutral expressions and no heroic posing, in a period late-1970s setting. Subject: a specimen chart of three common animals — a dog, a cat, and a fish — in a row. Compose the card as a calm specimen chart: arrange the named items in an even row or grid, each drawn small, clean and complete in its own right, with no single item dominating the card. Keep the subject large and dominant in the foreground, floating cleanly on the cream paper on a simple background. Any people who appear are ordinary workers in plain muted blue-grey civil-defense coveralls, soft flat-topped cloth workers' caps (the Lenin-style flat cap) or bareheaded, and black kirza-style work boots. Only include people the subject or scene actually calls for; do not add an extra standing figure that is not needed. Render NO text, NO lettering, NO numbers, NO words, NO labels and NO captions anywhere in the image — no leader-line labels, no writing in any panel, on any flag, sign, or object, and none in the header or footer bands. Any area that would normally hold text must be left completely blank. Frame the card with a plain solid dark-red horizontal band across the very top and another across the very bottom, plus a thin dark-red border around the whole card. These bands are blank design elements and must contain no text whatsoever. Keep ALL illustration content — every figure, object, and inset panel — fully inside the inner frame; nothing may overlap, touch, or extend across the red header or footer bands. If any national emblem is shown at all, use ONLY a small Lithuanian tricolor flag (a horizontal yellow band on top, green in the middle, red on the bottom), placed small and only where it fits naturally. Do NOT include coats of arms, the Vytis knight, the Columns of Gediminas, or any other heraldic emblem or badge. Do not put a flag on every card — many cards need no emblem at all. Render any human hands with clean, natural anatomy and exactly five fingers, and render animal paws, hooves and feet cleanly and correctly — no extra or malformed fingers or toes."
