#,category,english,type,flags,depictable,subject_phrase_EN,lithuanian_TARGET,lt_pron,gender,notes
1,Animal,dog,N,,yes,a single dog standing alert in side profile,šuo,šúo,M,
2,Animal,cat,N,,yes,a single domestic cat in side profile,katė,katė́,F,
3,Animal,fish,N,,yes,a single freshwater fish (a carp),žuvis,žuvís,F,
4,Animal,bird,N,,yes,a single bird in side profile,paukštis,paúkštis,M,
5,Animal,cow,N,,yes,a single dairy cow in side profile,karvė,kárvė,F,
6,Animal,pig,N,,yes,a single farm pig,kiaulė,kiaúlė,F,
7,Animal,mouse,N,,yes,a single house mouse,pelė,pelė́,F,
8,Animal,horse,N,,yes,a single working horse in side profile,arklys,arklýs,M,
9,Animal,wing,N,,yes,a bird's outstretched wing,sparnas,spárnas,M,
10,Animal,animal,N,categoryC,category-multi,"a specimen chart of three common animals — a dog, a cat, and a fish — in a row",gyvūnas,gyvū́nas,M,
11,Transportation,train,N,,yes,a passenger train with locomotive and one carriage,traukinys,traukinýs,M,
12,Transportation,plane,N,,yes,a passenger airplane,lėktuvas,lėktúvas,M,
13,Transportation,car,N,,yes,a compact 1970s sedan car,automobilis,automobílis,M,
14,Transportation,truck,N,,yes,a flatbed cargo truck,sunkvežimis,sunkvežímis,M,
15,Transportation,bicycle,N,,yes,a bicycle,dviratis,dvíratis,M,
16,Transportation,bus,N,,yes,a city bus,autobusas,autobúsas,M,
17,Transportation,boat,N,,yes,a small rowing boat,valtis,váltis,F,
18,Transportation,ship,N,,yes,a cargo ship,laivas,laívas,M,
19,Transportation,tire,N,,yes,a rubber road tire,padanga,padangá,F,stress: CHECK
20,Transportation,gasoline,N,,yes,a fuel canister and a pump nozzle,benzinas,benzínas,M,
21,Transportation,engine,N,,yes,an automobile engine block,variklis,varíklis,M,
22,Transportation,train ticket,N,,yes,a small blank paper train ticket,bilietas,bílietas,M,
23,Transportation,transportation,N,categoryC,category-multi,"a chart of transport modes — a bus, a truck, and a bicycle — in side profile",transportas,tránsportas,M,
24,Location,city,N,,yes,a compact city street panorama of mid-rise buildings,miestas,miéstas,M,
25,Location,house,N,,yes,a single modest house from the front,namas,námas,M,
26,Location,apartment,N,,yes,a large apartment block with one apartment unit indicated by an arrow,butas,bútas,M,
27,Location,street,N,,yes,a straight city street with pavement and lampposts,gatvė,gátvė,F,
28,Location,road,N,,yes,a country road running through fields,kelias,kélias,M,
29,Location,airport,N,,yes,an airport terminal building with an airplane behind it,oro uostas,óro uóstas,M,
30,Location,train station,N,,yes,a railway station building with a platform,stotis,stotís,F,
31,Location,bridge,N,,yes,a river bridge,tiltas,tíltas,M,
32,Location,hotel,N,,yes,a hotel building,viešbutis,viéšbutis,M,
33,Location,restaurant,N,,yes,a small restaurant with a glimpse of the dining room,restoranas,restoránas,M,
34,Location,farm,N,,yes,a farmstead with a barn and a field,ūkis,ū́kis,M,
35,Location,court,N,,yes,a courthouse building,teismas,teísmas,M,
36,Location,school,N,,yes,a schoolhouse building,mokykla,mokyklá,F,
37,Location,office,N,,yes,an office room with desks,biuras,biúras,M,
38,Location,room,N,,yes,a plain empty room seen from a doorway,kambarys,kambarýs,M,
39,Location,town,N,,yes,a small town main street,miestelis,miestélis,M,
40,Location,university,N,,yes,a university main building,universitetas,universitétas,M,
41,Location,club,N,,yes,a social club building with people entering,klubas,klúbas,M,
42,Location,bar,N,,yes,a small bar interior with a counter,baras,báras,M,
43,Location,park,N,,yes,"a public park with paths, benches and trees",parkas,párkas,M,
44,Location,camp,N,,yes,a campsite with tents,stovykla,stovyklá,F,
45,Location,store/shop,N,,yes,a small shop with its storefront,parduotuvė,parduotúvė,F,
